id,device_id,record_oid,count_start_date,count_end_date,average_daily_car_traffic,average_daily_bike_traffic,counter_number,counter_type,speed_limit,max_speed,median_speed,percent_over_limit,speed85_percent,speed95_percent,longitude,latitude,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone
1419330323,92,1083199734,2019-04-26,2019-05-04,12335,,,StatTrak,25,,31,87,36,39,-79.89620029,40.4444114,Point Breeze,9,14,42003140600,3,14,4,3-14
1432224337,150,2014846017,,,,,,StatTrak,25,,,,,,-80.04879395,40.43135694,Westwood,2,28,42003563100,5,28,6,1-18
144345379,192,383914084,2019-10-14,2019-10-21,16729,,3,StatTrak,25,,30,86,35,38,-79.89667461,40.43681375,Regent Square,5,14,42003141000,3,14,4,2-16
1463283046,115,665615900,2019-06-28,2019-07-05,8911,,15,StatTrak,,,27,,33,37,-79.93166971,40.45903735,East Liberty,7,8,42003111500,2,8,5,3-23
1466903750,3,2009670262,2018-09-13,2018-09-20,8407,,,StatTrak,25,77,32,97,36,39,-79.92819,40.46931,East Liberty,9,11,42003111300,2,11,5,3-4
1468921509,132,1461288045,2019-07-18,2019-07-26,1265,,1,StatTrak,25,,26,56,30,33,-79.91650754,40.44561249,Point Breeze,8,14,42003140400,3,14,4,2-17
1503643471,55,1966066309,2019-01-14,2019-01-22,1786,,14,StatTrak,25,,18,4,21,24,-79.96050515,40.47360042,Central Lawrenceville,7,9,42003090100,2,9,2,3-3
1530178639,68,676704832,2019-02-05,2019-02-14,,,,StatTrak,,,,,,,-79.98086521,40.43660264,Bluff,6,1,42003010300,3,1,2,2-1
1533566550,196,1464305119,2019-10-21,2019-10-29,527,,4,StatTrak,25,,23,25,27,30,-79.98968666,40.41812496,Knoxville,3,30,42003300100,5,30,3,4-6
1566340195,24,1549751514,2019-10-21,2019-10-28,3776,,5,StatTrak,25,,25,47,30,33,-79.9493951,40.44112373,Central Oakland,5,4,42003040600,3,4,4,2-8
1568219989,31,2101724073,2019-01-14,2019-01-22,6443,,,StatTrak,25,,25,47,32,36,-79.98064703,40.45349731,Strip District,7,2,42003020300,6,2,2,2-25
1581659026,7,371546790,2018-10-19,2018-11-08,,198,,Tube,,,,,,,-79.95142134,40.44225095,Central Oakland,3,4,42003982200,3,4,4,2-8
1591011355,165,,,,,,,,,,,,,,-79.96331914,40.43938259,West Oakland,6,4,42003040200,3,4,4,2-14
1592268905,111,242374247,2019-06-28,2019-07-05,6984,,11,StatTrak,35,,30,14,35,39,-79.95007952,40.45402427,Bloomfield,7,8,42003080400,2,8,5,2-23
1598018270,71,1717624375,2019-02-14,2019-02-18,,,2,StatTrak,,,,,,,-79.94205758,40.45106804,Shadyside,8,7,42003070900,2,7,4,3-22
1604686268,37,1114667008,2018-06-05,2018-06-21,976,,,StatTrak,25,,27.2,,28.7,29.8,-79.92591208,40.42485559,Greenfield,5,15,42003151700,3,15,4,2-15
1628179164,14,747494082,2018-06-05,2018-06-21,,,,,,,,,,,-79.92618443,40.42126864,Greenfield,5,15,42003151700,3,15,4,2-15
1635967977,12,1029658716,2019-12-12,2019-12-24,1080,,16,StatTrak,25,,24,39,31,36,-79.9155315,40.471092,Highland Park,7,11,42003110600,2,11,5,3-9
1658184502,60,1739195149,2019-03-08,2019-03-14,1218,,5,StatTrak,25,,19,10,24,27,-79.91288926,40.46107368,Larimer,9,12,42003120800,2,12,5,3-12
1667548447,62,1755445415,2019-03-07,2019-03-14,728,,2,StatTrak,25,,22,22,27,29,-79.91397019,40.46013288,Larimer,9,12,42003120800,2,12,5,3-10
1669534769,10,1211728398,2018-08-20,2018-09-04,2931,,,StatTrak,25,73,32,44,36,40,-80.07339585,40.45766034,Windgap,2,28,42003563000,5,28,6,1-16
1670424503,45,256296411,2018-12-11,2018-12-20,2046,,2,StatTrak,25,56,30,85,35,38,-80.02553687,40.40494914,Beechview,4,19,42003192000,5,19,6,4-28
1679750822,146,1502387803,,,,,,StatTrak,25,,,,,,-79.9654313,40.41840112,South Side Slopes,3,16,42003160800,3,16,3,4-22
1683704966,74,2021427153,2019-02-14,2019-02-22,7111,,,StatTrak,25,,32,91,38,41,-79.94753931,40.45629549,Bloomfield,7,8,42003080400,2,8,5,2-23
1691716209,33,104424121,2019-12-12,2019-12-24,1530,,5,StatTrak,25,,22,15,25,28,-79.96058225,40.45581498,Upper Hill,6,5,42003050600,3,5,2,2-22
1706030566,131,461114479,2018-12-04,,,,,Intersection Study,,,,,,,-79.92916037,40.46265524,East Liberty,9,8,42003111500,2,8,5,3-23
